ProbeID	Gene.symbol
2326561	RPS6KA1
2326640	ARID1A
2326707	PIGV
2326749	ZDHHC18
2326774	SFN
2326799	NUDC
2326846	TRNP1
2326912	WDTC1
2326954	TMEM222
2326993	SYTL1
2327045	GPR3
2327188	FAM76A
2327219	STX12
2327259	PPP1R8
2327283	C1orf38
2327310	SMPDL3B
2327338	XKR8
2327375	ATPIF1
2327391	SESN2
2327418	MED18
2327482	RCC1
2327542	TRNAU1AP
2327572	RAB42
2327603	GMEB1
2327630	YTHDF2
2327659	OPRD1
2327677	EPB41
2327817	PTPRU
2328236	ZCCHC17
2328273	SERINC2
2328320	TINAGL1
2328387	HCRTR1
2328465	KHDRBS1
2328633	TMEM39B
2328674	KPNA6
2328713	TXLNA
2328750	CCDC28B
2328767	IQCC
2328808	EIF3I
2328837	FAM167B
2328841	LCK
2328868	HDAC1
2328909	TSSK3
2328936	ZBTB8A
2328990	RBBP4
2329041	KIAA1522
2329077	S100PBP
2329131	HPCA
2329196	ADC
2329266	ZNF362
2329341	ZSCAN20
2329386	HMGB4
2329481	C1orf94
2329669	ZMYM1
2329752	ZMYM4
2329887	NCDN
2329920	TFAP2E
2330002	EIF2C4
2330075	EIF2C1
2330133	EIF2C3
2330234	TEKT2
2330253	ADPRHL2
2330289	MAP7D1
2330334	THRAP3
2330393	C1orf113
2330687	ZC3H12A
2330723	DNALI1
2330773	CDCA8
2330843	MANEAL
2330899	UTP11L
2331158	AKIRIN1
2331178	NDUFS5
2331213	MACF1
2331505	MACF1
2331511	BMP8A
2331558	BMP8A
2331602	PPIE
2331679	MFSD2A
2331727	CAP1
2331771	RLF
2331822	ZMPSTE24
2331857	SMAP2
2331903	ZNF643
2331937	ZNF642
2331959	DEM1
2331974	ZNF684
2332013	NFYC
2332091	KCNQ4
2332144	CTPS
2332481	GUCA2B
2332528	RIMKLA
2332566	PPCS
2332583	CCDC30
2332711	PPIH
2332767	C1orf50
2332812	ERMAP
2332855	ZNF691
2332999	WDR65
2333035	TMEM125
2333051	TIE1
2333107	MPL
2333136	CDC20
2333168	C1orf84
2333195	KIAA0467
2333318	PTPRF
2333429	KDM4A
2333481	ST3GAL3
2333574	ARTN
2333599	IPO13
2333635	DPH2
2333658	ATP6V0B
2333678	B4GALT2
2333707	CCDC24
2333777	KLF17
2333794	DMAP1
2333907	RNF220
2334052	C1orf228
2334098	KIF2C
2334191	PLK3
2334279	UROD
2334314	HPDL
2334319	TOE1
2334350	MMACHC
2334374	AKR1A1
2334404	NASP
2334459	TMEM69
2334476	MAST2
2334602	TSPAN1
2334629	C1orf190
2334646	RAD54L
2334706	NSUN4
2334740	FAAH
2334847	DMBX1
2334932	CYP4B1
2334986	CYP4X1
2335014	CYP4Z1
2335048	CYP4A22
2335132	CMPK1
2335160	FOXE3
2335172	FOXD2
2335671	ELAVL4
2335922	CDKN2C
2335986	RNF11
2336099	OSBPL9
2336271	BTF3L4
2336302	ZFYVE9
2336375	PLA2G12A
2336383	PRPF38A
2336439	GPX7
2336456	FAM159A
2336497	ZYG11B
2336539	ZYG11A
2336585	SCP2
2336650	PODN
2336706	CPT2
2336809	DMRTB1
2336891	DIO1
2336913	LRRC42
2336963	C1orf83
2337003	MRPL37
2337147	ACOT11
2337217	C1orf175
2337285	TTC4
2337327	C1orf177
2337369	TMEM61
2337392	BSND
2337407	PCSK9
2337716	PRKAA2
2337786	C8A
2338487	FGGY
2338625	HOOK1
2338719	NFIA
2339109	MGC34796
2339139	INADL
2339334	L1TD1
2339414	USP1
2339454	ANGPTL3
2339511	ATG4C
2339658	FOXD3
2339682	ALG6
2339740	EFCAB7
2339786	PGM1
2339872	ROR1
2339997	UBE2U
2340078	CACHD1
2340186	RAVER2
2340315	AK4
2340350	DNAJC6
2340423	2340423
2340433	LEPR
2340529	PDE4B
2340695	SGIP1
2340819	TCTEX1D1
2340845	MIER1
2340930	IL23R
2340961	IL12RB2
2341083	GADD45A
2341387	LRRC7
2341535	PIN1P1
2341565	SRSF11
2341645	HHLA3
2341663	CTH
2342176	FPGT
2342220	TNNI3K
2342391	TYW3
2342475	LHX8
2342576	ACADM
2342624	RABGGTB
2342665	MSH4
2342738	ST6GALNAC3
2342904	ST6GALNAC5
2343025	AK5
2343170	CCDC55
2343231	NEXN
2343289	DNAJB4
2343334	GIPC2
2343418	PTGFR
2343473	IFI44L
2343511	IFI44
2343823	LPHN2
2344393	PRKACB
2344450	NEDD8
2344511	DNASE2B
2344542	RPF1
2344577	SPATA1
2344731	WDR63
2344888	CYR61
2344984	CLCA2
2345023	CLCA1
2345061	CLCA4
2345095	CLCA3P
2345128	SH3GLB1
2345196	HS2ST1
2345239	LOC339524
2345286	LMO4
2345617	PKN2
2345816	GBP6
2345880	LRRC8B
2345929	LRRC8C
2346023	LRRC8D
2346074	ZNF326
2346399	CDC7
2346575	BRDT
2346625	EPHX4
2346657	BTBD8
2346738	RPAP2
2346863	RPL5
2346934	MTF2
2347023	CCDC18
2347096	DR1
2347132	FNBP1L
2347502	ABCD3
2347625	SLC44A3
2347732	TMEM56
2347788	RWDD3
2348060	PTBP2
2348437	SNX7
2348514	LPPR4
2348569	PALMD
2348634	AGL
2348702	SLC35A3
2348757	HIAT1
2348792	CCDC76
2348854	RTCD1
2348896	CDC14A
2348962	GPR88
2348992	VCAM1
2349043	SLC30A7
2349086	DPH5
2349129	S1PR1
2349211	HEJ1
2349345	RNPC3
2349402	AMY2B
2349848	PRMT6
2349863	NTNG1
2350287	PRPF38B
2350316	FNDC7
2350339	STXBP3
2350391	LOC642864
2350489	KIAA1324
2350551	SARS
2350596	CELSR2
2350714	SYPL2
2350741	ATXN7L2
2350787	CYB561D1
2350818	GPR61
2350840	GNAI3
2350880	AMPD2
2350922	GSTM4
2350952	GSTM2
2350981	GSTM1
2351004	GSTM5
2351063	CSF1
2351121	AHCYL1
2351171	FAM40A
2351233	UBL4B
2351294	KCNC4
2351393	RBM15
2351465	PROK1
2351572	CD53
2351632	CEPT1
2351687	CHI3L2
2351763	CHIA
2351787	C1orf88
2351817	ATP5F1
2351854	C1orf162
2351872	RAP1A
2351940	DDX20
2352106	CTTNBP2NL
2352169	WNT2B
2352228	CAPZA1
2352275	MOV10
2352338	FAM19A3
2352501	LRIG2
2352609	MAGI3
2352743	DCLRE1B
2352758	HIPK1
2352804	OLFML3
2353021	SYCP1
2353067	TSHB
2353237	VANGL1
2353283	VANGL1
2353337	SLC22A15
2353396	C1orf161
2353477	ATP1A1
2353669	CD2
2353717	PTGFRN
2353749	CD101
2353773	TTF2
2353881	MAN1A2
2353988	FAM46C
2354082	WDR3
2354365	HAO2
2354433	HSD3BP4
2354553	HSD3B1
2354634	PHGDH
2355615	SEC22B
2356100	HFE2
2356115	TXNIP
2356142	LIX1L
2356181	RBM8A
2356205	PEX11B
2356218	ITGA10
2356273	ANKRD35
2356300	PIAS3
2356344	RNF115
2356425	PDZK1
2356658	IGF2BP2
2356721	CHD1L
2356818	BCL9
2357845	FCGR1A
2357961	BOLA1
2357996	VPS45
2358044	PLEKHO1
2358092	CA14
2358117	C1orf54
2358136	C1orf51
2358153	MRPS21
2358171	PRPF3
2358221	RPRD2
2358320	TARS2
2358360	ECM1
2358393	ADAMTSL4
2358426	ADAMTSL4
2358520	SETDB1
2358591	ANXA9
2358623	PRUNE
2358646	BNIPL
2358671	C1orf56
2358693	MLLT11
2358700	GABPB2
2358736	TNFAIP8L2
2358743	SCNM1
2358761	PIP5K1A
2358821	PSMD4
2358855	ZNF687
2358906	PSMB4
2358949	CGN
2358993	TUFT1
2359036	SNX27
2359113	OAZ3
2359302	CRCT1
2359322	LCE3C
2359329	LCE3B
2359352	LCE2D
2359360	LCE2B
2359377	LCE2A
2359433	LCE1E
2359439	LCE1D
2359444	LCE1B
2359453	SMCP
2359470	IVL
2359483	SPRR4
2359492	SPRR1A
2359504	SPRR3
2359521	SPRR1B
2359646	LOR
2359664	S100A9
2359691	S100A7A
2359736	C1orf77
2359764	SNAPIN
2359780	NPR1
2359817	INTS3
2359885	SLC27A3
2359993	CREB3L4
2360083	UBAP2L
2360158	HAX1
2360186	AQP10
2360206	ATP8B2
2360257	IL6R
2360310	TDRD10
2360346	CHRNB2
2360468	FLAD1
2360498	LENEP
2360506	ZBTB7B
2360541	DCST1
2360576	ADAM15
2360633	EFNA4
2360647	EFNA3
2360677	EFNA1
2360700	RAG1AP1
2360728	TRIM46
2360773	MTX1
2360818	HCN3
2360850	FDPS
2360887	RUSC1
2360939	POU5F1P4
2360989	MSTO1
2361036	DAP3
2361154	SYT11
2361196	RXFP4
2361241	ROBLD3
2361257	RAB25
2361279	LMNA
2361342	SEMA4A
2361384	SLC25A44
2361401	PMF1
2361447	TMEM79
2361472	C1orf182
2361488	RHBG
2361584	APOA1BP
2361612	HAPLN2
2361635	BCAN
2361697	C1orf66
2361731	PRCC
2361761	NTRK1
2361839	C1orf92
2362089	KIRREL
2362157	CD1D
2362180	CD1A
2362201	CD1C
2362230	CD1E
2362270	OR10K1
2362276	OR10R2
2362282	OR10Z1
2362323	OR6K6
2362333	MNDA
2362351	PYHIN1
2362394	IFI16
2362469	CADM3
2362511	DARC
2362537	FCER1A
2362591	OR10J1
2362651	APCS
2362702	DUSP23
2362723	FCRL6
2362746	SLAMF8
2362860	KCNJ9
2362892	ATP1A2
2362950	ATP1A4
2362991	CASQ1
2363042	PEA15
2363074	SUMO1P3
2363084	NCSTN
2363128	NHLH1
2363202	SLAMF7
2363248	LY9
2363372	KLHDC9
2363389	NIT1
2363424	UFC1
2363444	USP21
2363484	PPOX
2363525	NDUFS2
2363562	FCER1G
2363579	TOMM40L
2363618	SDHC
2363689	FCGR2A
2363784	HSPA6
2363808	FCGR2B
2363852	FCRLA
2363876	FCRLB
2363902	DUSP12
2363919	ATF6
2363992	2363992
2364016	NOS1AP
2364155	UHMK1
2364189	UAP1
2364231	DDR2
2364381	RGS4
2364438	NUF2
2364677	PBX1
2365086	LRRC52
2365119	MGST3
2365181	ALDH9A1
2365210	UCK2
2365391	FMO9P
2365496	POGK
2365597	MAEL
2365675	POU2F1
2365872	RCSD1
2365933	LOC100128751
2365958	MPZL1
2366028	DCAF6
2366132	TIPRL
2366156	SFT2D2
2366184	TBX19
2366287	XCL1
2366355	MGC4473
2366422	ATP1B1
2366490	BLZF1
2366581	SCYL3
2366753	GORAB
2366798	PRRX1
2366884	C1orf129
2366941	FMO3
2367050	FMO1
2367086	FMO4
2367154	BAT2L2
2367287	METTL13
2367326	DNM3
2367495	C1orf105
2367537	C1orf9
2367599	FASLG
2367743	PRDX6
2367793	KLHL20
2367843	DARS2
2367892	ZBTB37
2367963	RABGAP1L
2368180	GPR52
2368198	CACYBP
2368492	RPS29
2368590	PAPPA2
2368840	FAM5B
2369110	RASAL2
2369252	C1orf49
2369325	C1orf220
2369339	RALGPS2
2369463	FAM20B
2369484	TOR3A
2369557	SOAT1
2369609	C1orf125
2369680	TDRD5
2369713	FAM163A
2369796	TOR1AIP1
2369843	CEP350
2369950	QSOX1
2370032	LHX4
2370123	XPR1
2370317	MR1
2370355	IER5
2370433	CACNA1E
2370804	RGSL1
2370823	RGSL1
2370926	NPL
2370991	DHX9
2371065	LAMC1
2371139	LAMC2
2371255	SMG7
2371346	RGL1
2371474	TSEN15
2371547	C1orf21
2371694	RNF2
2371738	C1orf26
2371873	HMCN1
2372103	PRG4
2372141	C1orf27
2372169	OCLM
2372211	PLA2G4A
2372719	RGS18
2372781	RGS1
2372812	RGS13
2372858	RGS2
2372924	TROVE2
2372967	CDC73
2373336	CFH
2373406	CFHR3
2373465	CFHR4
2373494	CFHR2
2373511	CFHR5
2373564	CRB1
2373693	LHX9
2373736	NEK7
2373842	PTPRC
2374126	NR5A2
2374345	CAMSAP1L1
2374414	GPR25
2374422	C1orf106
2374544	IGFN1
2374604	PKP1
2374700	RPS10P7
2374746	NAV1
2374872	IPO9
2374926	SHISA4
2374956	TIMM17A
2374982	RNPEP
2375011	ELF3
2375038	GPR37L1
2375144	LGR6
2375212	PPP1R12B
2375338	OCR1
2375500	TMEM183A
2375596	ADORA1
2375664	BTG2
2375706	ATP2B4
2375784	NCRNA00260
2375795	LAX1
2375810	ZC3H11A
2375916	SOX13
2376037	MDM4
2376168	NFASC
2376299	CNTN2
2376376	TMCC2
2376457	CDK18
2376548	MFSD4
2376799	IKBKE
2376849	RASSF5
2376894	DYRK3
2376922	MAPKAPK2
2376988	IL19
2377020	IL20
2377035	IL24
2377094	PFKFB2
2377141	C4BPB
2377165	C4BPA
2377229	CD55
2377283	CR2
2377332	CR1
2377427	CD46
2378019	CAMK1G
2378068	G0S2
2378077	HSD11B1
2378121	TRAF3IP3
2378180	C1orf107
2378256	SYT14
2378325	SERTAD4
2378369	HHAT
2378584	RCOR3
2378662	TRAF5
2378710	C1orf97
2378937	DTL
2379009	PPP2R5A
2379068	NENF
2379132	ATF3
2379168	FAM71A
2379280	FLVCR1
2379314	VASH2
2379399	RPS6KC1
2379665	PROX1
2379754	SMYD2
2379863	CENPF
2379974	KCNK2
2380055	KCTD3
2380440	SPATA17
2380554	RRP15
2380590	TGFB2
2380785	LYPLAL1
2380991	IARS2
2381177	MARK1
2381249	C1orf115
2381264	MOSC2
2381309	MOSC1
2381368	HLX
2381903	FAM177B
2382043	C1orf65
2382117	CAPN2
2382336	FBXO28
2382360	DEGS1
2382419	CNIH4
2382467	CNIH3
2382781	DNAH14
2382970	EPHX1
2383118	MIXL1
2383176	C1orf95
2383312	PSEN2
2383356	ADCK3
2383479	BTF3P9
2383524	ZNF678
2383550	ZNF678
2383557	SNAP47
2383606	LOC100130093
2383639	PRSS38
2383707	WNT3A
2383726	ARF1
2383859	GUK1
2383915	GJC2
2383999	OBSCN
2384268	HIST3H2BB
2384375	DUSP5P
2384401	RHOU
2384562	RAB4A
2384705	URB2
2384788	GALNT2
2384956	COG2
2385012	CAPN9
2385095	ARV1
2385146	TRIM67
2385197	GNPAT
2385258	C1orf124
2385306	TSNAX
2385343	DISC1
2385659	KIAA1383
2385696	C1orf57
2385797	KIAA1804
2385873	KCNK1
2385967	SLC35F3
2386397	GGPS1
2386418	TBCE
2386747	GPR137B
2386828	EDARADD
2386867	LGALS8
2386943	ACTN2
2387006	MTR
2387126	RYR2
2387606	CHRM3
2387711	FMN2
2388085	KMO
2388148	WDR64
2388219	EXO1
2388525	SDCCAG8
2388794	ZNF238
2388960	C1orf101
2389016	PPPDE1
2389062	FAM36A
2389130	EFCAB2
2389247	KIF26B
2389718	CNST
2389789	SCCPDH
2389834	LOC149134
2389996	VN1R5
2390050	NLRP3
2390089	OR2W5
2390102	C1orf150
2390135	OR2G2
2390142	OR2G3
2390162	OR9H1P
2390180	TRIM58
2390243	OR2L13
2390253	OR2L8
2390259	OR2AK2
2390298	OR2L2
2390322	OR2M5
2390335	OR2M2
2390350	OR2M3
2390355	OR2M4
2390489	ZNF672
2390518	PGBD2
2390976	NCRNA00115
2391005	C1orf159
2391150	TNFRSF18
2391172	TNFRSF4
2391188	SDF4
2391255	UBE2J2
2391302	ACAP3
2391360	CPSF3L
2391425	DVL1
2391465	MXRA8
2391532	CCNL2
2391647	SSU72
2391687	NADK
2391744	CDK11A
2391840	GNB1
2392095	C1orf86
2392161	C1orf86
2392267	MORN1
2392404	LOC100129534
2392421	PEX10
2392528	PANK4
2392666	MMEL1
2392945	FLJ42875
2392985	FLJ42875
2393538	WDR8
2393654	KIAA0495
2393711	LRRC47
2393740	KIAA0562
2393816	C1orf174
2394361	NPHP4
2394478	CHD5
2394558	RPL22
2394588	ICMT
2394608	GPR153
2394626	ACOT7
2394680	HES2
2394699	TNFRSF25
2394726	PLEKHG5
2394784	NOL9
2394817	KLHL21
2394841	DNAJC11
2395123	UTS2
2395146	TNFRSF9
2395177	ERRFI1
2395245	RERE
2395418	2395418
2395490	ENO1
2395545	SLC2A7
2395564	SLC2A5
2395626	GPR157
2395890	CLSTN1
2395965	CTNNBIP1
2396009	LZIC
2396121	DFFA
2396201	CASZ1
2396362	C1orf127
2396415	MASP2
2396461	SRM
2396480	EXOSC10
2396537	MTOR
2396750	FBXO2
2396781	MAD2L2
2396817	MTHFR
2396848	NPPA
2396858	NPPB
2397025	DHRS3
2397600	C1orf126
2397695	CASP9
2397732	AGMAT
2397847	ZBTB17
2397898	HSPB7
2397926	FAM131C
2397948	EPHA2
2397999	ARHGEF19
2398040	C1orf89
2398073	FBXO42
2398146	SPATA21
2398193	CROCCP3
2398369	CROCCP2
2398706	MFAP2
2398736	ATP13A2
2398789	SDHB
2398820	PADI2
2398894	RCC2
2399289	TAS1R2
2399409	UBR4
2399620	KIAA0090
2399687	AKR7L
2399718	AKR7A2
2399743	AKR7A3
2399765	CAPZB
2399908	TMCO4
2399988	RNF186
2400009	PLA2G2E
2400027	PLA2G2A
2400059	PLA2G2D
2400177	CAMK2N1
2400193	MUL1
2400212	PINK1
2400220	DDOST
2400247	KIF17
2400322	HP1BP3
2400373	EIF4G3
2400518	ECE1
2400655	RAP1GAP
2400718	USP48
2400793	HSPG2
2401018	WNT4
2401193	LUZP1
2401251	HTR1D
2401275	HNRNPR
2401333	ZNF436
2401347	TCEA3
2401384	ASAP3
2401448	E2F2
2401493	ID3
2401581	GALE
2401609	HMGCL
2401643	FUCA1
2401670	MYOM3
2401753	IL22RA1
2401774	IL28RA
2401849	C1orf201
2401994	RUNX3
2402068	SYF2
2402111	C1orf63
2402416	C1orf135
2402431	PAQR7
2402447	STMN1
2402459	STMN1
2402493	PAFAH2
2402517	SLC30A2
2402536	TRIM63
2402601	UBXN11
2402645	AIM1L
2402691	ZNF683
2402838	GPN2
2402861	GPATCH3
2402883	NR0B2
2402892	C1orf172
2402914	FAM46B
2402942	SLC9A1
2403027	MAP3K6
2403080	FCN3
2403099	CD164L2
2403111	WASF2
2403158	AHDC1
2403215	FGR
2403261	IFI6
2403301	RPA2
2403335	EYA3
2403446	PTAFR
2403470	DNAJC8
2403557	SNORA44
2403585	TAF12
2403707	TMEM200B
2403740	SRSF4
2403793	MECR
2404122	MATN1
2404158	LAPTM5
2404209	SDC3
2404254	PUM1
2404344	NKAIN1
2404377	SNRNP40
2404418	FABP3
2404521	PEF1
2404546	COL16A1
2404693	BAI2
2404766	SPOCD1
2404819	PTP4A2
2404930	C1orf91
2404958	MTMR9LP
2404999	MARCKSL1
2405036	BSDC1
2405104	ZBTB8OS
2405152	SYNC
2405192	YARS
2405250	FNDC5
2405284	TMEM54
2405312	RNF19B
2405364	AK2
2405428	TRIM62
2405469	PHC2
2405576	CSMD2
2405893	C1orf212
2405992	ZMYM6
2406064	SFPQ
2406139	KIAA0319L
2406245	PSMB2
2406412	C1orf216
2406420	CLSPN
2406579	COL8A2
2406597	TRAPPC3
2406662	C1orf113
2406677	STK40
2406722	LSM10
2406735	OSCP1
2406766	MRPS15
2406783	CSF3R
2406926	GRIK3
2407128	MEAF6
2407163	SNIP1
2407191	GNL2
2407224	RSPO1
2407250	C1orf109
2407314	EPHA10
2407359	EPHA10
2407439	SF3A3
2407478	FHL3
2407496	POU3F1
2407729	RRAGC
2407755	GJA9
2407786	RHBDL2
2407934	PABPC4
2407985	HEYL
2408028	NT5C1A
2408041	HPCAL4
2408062	BMP8B
2408111	TRIT1
2408146	MYCL1
2408189	PPT1
2408244	COL9A2
2408351	RIMS3
2408437	CITED4
2408477	SLFNL1
2408499	SCMH1
2408643	EDN2
2408681	HIVEP3
2408832	GUCA2A
2408855	FOXJ3
2408929	ZMYND12
2408955	TMSB4X
2408994	CLDN19
2409004	LEPRE1
2409069	CCDC23
2409104	SLC2A1
2409220	EBNA1BP2
2409275	C1orf210
2409310	ELOVL1
2409344	MED8
2409368	HYI
2409507	SLC6A9
2409613	ERI3
2409770	TMEM53
2409820	BEST4
2409847	PTCH2
2409904	EIF2B3
2409970	HECTD3
2410111	MUTYH
2410158	TESK2
2410241	PRDX1
2410283	CCDC17
2410330	GPBP1L1
2410470	PIK3R3
2410522	POMGNT1
2410574	LRRC41
2411173	PDZK1IP1
2411198	TAL1
2411228	STIL
2411575	SPATA6
2411638	LOC100128922
2411642	AGBL4
2411799	BEND5
2412082	FAF1
2412312	TTC39A
2412360	EPS15
2412529	NRD1
2412624	RAB3B
2412668	TXNDC12
2412690	KTI12
2412740	CC2D1B
2412799	ORC1
2412834	ZCCHC11
2412988	C1orf163
2413008	RPS13
2413032	ECHDC2
2413115	SLC1A7
2413153	CPT2
2413180	MAGOH
2413203	LRP8
2413316	FLJ40434
2413332	GLIS1
2413423	TMEM48
2413484	YIPF1
2413519	HSPB11
2413578	TMEM59
2413633	CYB5RL
2413685	SSBP3
2413846	ACOT11
2413879	PARS2
2413886	TTC22
2413907	DHCR24
2413943	USP24
2414366	PPAP2B
2414440	C1orf168
2414505	C8B
2414558	DAB1
2414958	TACSTD2
2414998	MYSM1
2415084	JUN
2415266	CYP2J2
2415295	C1orf87
2415728	TM2D1
2415837	KANK4
2415910	DOCK7
2416218	ITGB3BP
2416522	JAK1
2417008	INSL5
2417016	WDR78
2417095	SLC35D1
2417174	SERBP1
2417272	GNG12
2417362	DIRAS3
2417390	WLS
2417500	RPE65
2417528	DEPDC1
2417737	LRRC40
2417791	ANKRD13C
2417945	PTGER3
2418000	ZRANB2
2418078	NEGR1
2418299	LRRIQ3
2418339	LRRIQ3
2418408	C1orf173
2418451	CRYZ
2418570	SLC44A5
2418700	ASB17
2418929	PIGK
2419046	ZZZ3
2419113	USP33
2419219	C1orf118
2419235	FUBP1
2419432	ELTD1
2420229	TTLL7
2420427	GNG5
2420467	CTBS
2420511	C1orf180
2420521	SSX2IP
2420615	LPAR3
2420642	MCOLN2
2420681	MCOLN3
2420790	C1orf52
2420808	BCL10
2420832	DDAH1
2420958	ZNHIT6
2421000	COL24A1
2421121	ODF2L
2421271	SEP15
2421753	GTF2B
2421782	CCBL2
2421843	GBP3
2421883	GBP1
2421925	GBP7
2421995	GBP4
2422035	GBP5
2422227	GEMIN8P4
2422398	BARHL2
2422517	ZNF644
2422612	HFM1
2422722	TGFBR3
2422885	GLMN
2422967	GFI1
2423017	EVI5
2423175	FAM69A
2423264	TMED5
2423422	BCAR3
2423597	DNTTIP2
2423625	GCLM
2423669	ABCA4
2423829	ARHGAP29
2423907	F3
2424102	CNN3
2424148	ALG14
2424740	MIR137
2425118	SASS6
2425173	LRRC39
2425212	DBT
2425400	EXTL2
2425447	DPH5
2425652	OLFM3
2425756	COL11A1
2426385	VAV3
2426559	SLC25A24
2426676	C1orf59
2426734	AKNAD1
2426791	CLCC1
2426840	WDR47
2426951	PSRC1
2427007	SORT1
2427074	PSMA5
2427117	AMIGO1
2427169	GNAT2
2427208	GSTM3
2427231	EPS8L3
2427342	ALX3
2427469	SLC16A4
2427500	HBXIP
2427538	KCNA10
2427566	KCNA2
2427619	KCNA3
2427688	C1orf103
2427720	DRAM2
2427791	DENND2D
2427898	OVGP1
2427930	WDR77
2427981	ADORA3
2428079	C1orf183
2428119	KCND3
2428313	ST7L
2428405	RHOC
2428425	PPM1J
2428478	FLJ36116
2428501	SLC16A1
2428699	PHTF1
2428760	RSBN1
2428796	PTPN22
2428855	AP4B1
2428932	SYT6
2429069	TRIM33
2429147	DENND2C
2429235	AMPD1
2429261	NRAS
2429277	CSDE1
2429338	SIKE1
2429371	TSPAN2
2429466	NGF
2429556	CASQ2
2429613	NHLH2
2429842	CD58
2429914	IGSF3
2430126	TRIM45
2430163	VTCN1
2430370	GDAP2
2430422	SPAG17
2430762	WARS2
2430994	ZNF697
2431031	HMGCS2
2431066	REG4
2431112	NOTCH2
2431211	ADAM30
2431886	PDE4DIP
2432571	POLR3GL
2432607	GNRHR2
2432647	POLR3C
2432714	CD160
2432851	NBPF11
2433209	PRKAB2
2433232	FMO5
2433371	ACP6
2433432	GJA5
2433605	FLJ39739
2434031	HIST2H2BF
2434124	HIST2H2BE
2434129	HIST2H2AB
2434139	SV2A
2434159	SF3B4
2434178	MTMR11
2434233	OTUD7B
2434319	ANP32E
2434341	APH1A
2434438	MCL1
2434490	ENSA
2434527	GOLPH3L
2434546	HORMAD1
2434575	CTSS
2434609	CTSK
2434633	ARNT
2434716	LASS2
2434746	FAM63A
2434776	CDC42SE1
2434805	SEMA6C
2434862	LYSMD1
2434872	TMOD4
2434892	VPS72
2434925	PI4KB
2434971	RFX5
2435005	SELENBP1
2435044	POGZ
2435149	CELF3
2435195	MRPL9
2435218	TDRKH
2435251	LINGO4
2435261	RORC
2435323	THEM5
2435347	THEM4
2435383	S100A10
2435410	S100A11
2435443	TCHH
2435686	CRNN
2435735	LCE3D
2435745	LCE3A
2435849	SPRR2D
2435858	SPRR2A
2435878	SPRR2C
2435949	PGLYRP3
2435961	PGLYRP4
2435981	S100A12
2435989	S100A8
2436051	S100A7
2436067	S100A6
2436132	ILF2
